,Variance
592,2517.6875
593,43.0
594,5240.1875
595,29655.6875
596,6480.0
597,7540.25
598,8191.1875
599,1614.6875
600,3572.1875
601,239.1875
602,624.6875
603,34.5
604,508.1875
605,9147.5
606,51595.6875
607,56804.1875
608,3630.1875
609,2118.5
610,3113.1875
611,4524.75
612,7388.1875
613,1388.1875
614,4020.25
615,13202.75
616,2114.75
617,557.5
618,20056.25
619,10493.6875
620,4953.25
621,23553.1875
622,7365.5
623,4657.25
624,984.6875
625,404.1875
626,736.25
627,50.1875
628,385.5
629,9472.6875
630,54012.1875
631,48836.1875
632,1765.25
633,3266.25
634,4657.1875
635,10423.6875
636,3080.6875
637,2684.1875
638,173.1875
639,507.1875
640,2759.5
641,5767.6875
642,9854.5
643,12217.1875
644,9053.25
645,5327.5
646,1746.25
647,14514.75
648,2498.1875
649,1422.1875
650,1583.6875
651,367.25
652,43.6875
653,1647.1875
654,7284.1875
655,10930.6875
656,19377.5
657,17174.0
658,3897.1875
659,2925.6875
660,7437.6875
661,2514.6875
662,3014.5
663,1211.1875
664,1350.6875
665,515.5
666,15529.6875
667,10482.6875
668,3093.5
669,15422.0
670,10347.6875
671,3865.25
672,2238.25
673,522.6875
674,1726.5
675,73.1875
676,360.5
677,458.1875
678,2528.6875
679,4950.25
680,11773.0
681,17721.25
682,2404.6875
683,8724.5
684,552.5
685,3275.25
686,1138.1875
687,3107.1875
688,3202.75
689,261.0
690,21789.0
691,12825.0
692,4886.1875
693,5638.6875
694,1902.0
695,3777.5
696,932.25
697,120.6875
698,168.6875
699,60.5
700,426.75
701,5858.0
702,41557.1875
703,54718.25
704,431.1875
705,1113.5
706,2270.1875
707,3506.25
708,788.75
709,5951.5
710,8486.6875
711,1294.5
712,1085.6875
713,2435.6875
714,27912.25
715,10953.1875
716,2714.0
717,5339.0
718,3312.6875
719,2242.1875
720,1442.25
721,84.5
722,340.6875
723,29.6875
724,339.0
725,9244.1875
726,54520.5
727,53148.5
728,2532.6875
729,3618.6875
730,1590.5
731,6864.6875
732,1482.6875
733,1489.25
734,9973.25
735,727.25
736,11069.1875
737,847.6875
738,438.6875
739,29508.6875
740,4033.1875
741,3890.75
742,4391.6875
743,5191.1875
744,732.25
745,335.1875
746,129.0
747,52.1875
748,665.25
749,6651.1875
750,53127.1875
751,46933.1875
752,41.0
753,435.6875
754,694.1875
755,2862.6875
756,5684.0
757,570.6875
758,5805.1875
759,732.75
760,2466.5
761,913.6875
762,7233.5
763,24664.25
764,2764.6875
765,15732.5
766,6653.0
767,2291.0
768,2496.6875
769,195.25
770,495.1875
771,1.1875
772,402.0
773,6688.6875
774,57624.25
775,45100.25
776,1477.6875
777,3367.25
778,9468.25
779,4922.1875
780,1014.6875
781,1443.5
782,21503.5
783,3914.6875
784,137.1875
785,3088.1875
786,5813.1875
787,12557.25
788,193.25
789,10660.1875
790,9409.5
791,5005.1875
792,3328.25
793,133.25
794,826.6875
795,22.25
796,477.6875
797,6647.1875
798,57650.1875
799,47317.5
800,539.6875
801,144.1875
802,3180.6875
803,10057.1875
804,11008.25
805,5154.6875
806,6981.5
807,759.25
808,941.5
809,1004.1875
810,11779.6875
811,4390.25
812,2205.5
813,2647.6875
814,7947.5
815,3907.6875
816,1926.6875
817,173.1875
818,1565.25
819,448.75
820,24.0
821,956.1875
822,4696.1875
823,13137.6875
824,19931.1875
825,19140.25
826,4825.1875
827,7154.1875
828,2759.5
829,1765.1875
830,1320.6875
831,1333.6875
832,502.6875
833,1926.5
834,22501.6875
835,11818.6875
836,1100.6875
837,36383.1875
838,59318.25
839,18529.25
840,2485.1875
841,416.1875
842,1015.25
843,424.5
844,15.25
845,305.25
846,3431.1875
847,3669.5
848,10306.1875
849,10601.1875
850,8674.25
851,3744.0
852,4092.75
853,3370.5
854,654.25
855,31117.5
856,4912.5
857,1882.0
858,7308.6875
859,98713.25
860,21717.1875
861,2630.75
862,3102.75
863,3031.6875
864,1078.0
865,170.1875
866,85.6875
867,53.0
868,400.5
869,6212.25
870,44923.6875
871,70310.25
872,441.25
873,1086.5
874,4210.25
875,4641.5
876,1794.0
877,4454.1875
878,5925.6875
879,680.25
880,405.6875
881,1604.1875
882,1992.5
883,15990.6875
884,526.0
885,5358.6875
886,9721.1875
887,2409.6875
888,2174.0
889,214.6875
890,7.25
891,72.6875
892,231.6875
893,7261.6875
894,55716.1875
895,43437.25
896,1223.5
897,2930.6875
898,2105.25
899,5110.25
900,4117.5
901,807.6875
902,21157.6875
903,3676.1875
904,7282.1875
905,10766.1875
906,12150.75
907,15980.25
908,1604.75
909,10474.25
910,6631.1875
911,3306.5
912,1923.5
913,328.25
914,278.75
915,107.25
916,702.6875
917,7139.1875
918,68830.25
919,67436.1875
920,1375.5
921,594.6875
922,3951.6875
923,11962.25
924,3456.6875
925,522.6875
926,18488.6875
927,8192.25
928,20583.6875
929,6811.1875
930,5253.6875
931,15089.0
932,3797.0
933,15659.6875
934,4375.6875
935,982.25
936,2750.1875
937,163.6875
938,201.1875
939,86.1875
940,635.0
941,7648.5
942,60206.5
943,71816.0
944,5219.0
945,2148.5
946,5947.25
947,3751.1875
948,2762.1875
949,18.5
950,1464.25
951,75089.6875
952,597.6875
953,714.6875
954,3680.75
955,18406.6875
956,4067.6875
957,8274.0
958,8126.0
959,5246.0
960,3858.5
961,185.25
962,531.6875
963,45.0
964,1002.75
965,6163.0
966,44139.6875
967,38721.5
968,2356.25
969,1306.25
970,6801.1875
971,11178.6875
972,4000.5
973,5063.1875
974,16078.25
975,2602.6875
976,2043.25
977,1885.25
978,2906.1875
979,5643.6875
980,4372.75
981,10210.0
982,11629.1875
983,3622.25
984,674.75
985,834.6875
986,2660.25
987,557.1875
988,103.1875
989,2056.6875
990,4533.1875
991,20328.25
992,23360.25
993,22338.1875
994,3963.5
995,5471.6875
996,3669.0
997,3135.6875
998,1712.25
999,2390.5
1000,368.1875
1001,2934.25
1002,14295.6875
1003,9848.6875
1004,6155.6875
1005,8049.25
1006,4574.25
1007,1406.25
1008,7159.1875
1009,1769.0
1010,1783.1875
1011,345.1875
1012,58.0
1013,122.1875
1014,2255.25
1015,2027.1875
1016,12537.5
1017,14312.6875
1018,11076.75
1019,3158.75
1020,751.25
1021,24618.1875
1022,3428.5
1023,1707.1875
1024,1622.75
1025,916.6875
1026,1103.1875
1027,18648.6875
1028,24622.5
1029,10493.1875
1030,3398.75
1031,1995.1875
1032,447.25
1033,287.1875
1034,278.5
1035,4.5
1036,330.6875
1037,7617.6875
1038,48135.6875
1039,63614.0
1040,1629.1875
1041,108.5
1042,1241.5
1043,7331.1875
1044,2465.1875
1045,450.6875
1046,25344.25
1047,3218.1875
1048,843.0
1049,582.5
1050,15644.25
1051,23728.25
1052,307.5
1053,8358.1875
1054,3177.25
1055,3890.25
1056,3395.25
1057,552.25
1058,184.25
1059,156.6875
1060,554.6875
1061,5540.1875
1062,48335.25
1063,56253.6875
1064,1098.1875
1065,19469.5
1066,9845.25
1067,3047.25
1068,658.6875
1069,2546.6875
1070,9332.75
1071,2011.5
1072,1780.25
1073,2362.25
1074,372.1875
1075,21264.25
1076,1711.5
1077,3768.6875
1078,16765.1875
1079,5859.25
1080,1720.6875
1081,277.25
1082,257.0
1083,8.5
1084,267.25
1085,6084.6875
1086,50768.1875
1087,64096.6875
1088,1988.6875
1089,43374.75
1090,3502.6875
1091,3733.5
1092,5573.1875
1093,5576.75
1094,10610.1875
1095,434.75
1096,18599.1875
1097,1025.1875
1098,828.5
1099,24629.6875
1100,6813.5
1101,10232.5
1102,4317.25
1103,5239.6875
1104,1900.1875
1105,269.25
1106,226.6875
1107,72.1875
1108,423.6875
1109,7972.6875
1110,58656.6875
1111,44072.75
1112,852.1875
1113,1444.25
1114,3346.75
1115,1183.6875
1116,11580.6875
1117,28356.25
1118,10584.6875
1119,84.5
1120,518.5
1121,1578.1875
1122,6836.0
1123,17127.6875
1124,2946.5
1125,5697.25
1126,17444.0
1127,4439.25
1128,1650.5
1129,122.5
1130,502.75
1131,96.1875
1132,559.25
1133,6819.6875
1134,43322.1875
1135,41777.6875
1136,4082.75
1137,5909.0
1138,5447.6875
1139,8685.6875
1140,5050.25
1141,4991.25
1142,3467.5
1143,5636.1875
1144,12976.25
1145,28733.1875
1146,6402.5
1147,2447.25
1148,3554.75
1149,16153.25
1150,1018.6875
1151,685.6875
1152,1997.1875
1153,394.75
1154,542.75
1155,385.6875
1156,99.1875
1157,518.1875
1158,5439.25
1159,9320.25
1160,17347.6875
1161,20558.6875
1162,2053.1875
1163,8671.1875
1164,9907.6875
1165,2483.6875
1166,3586.6875
1167,1250.6875
1168,3443.5
1169,2385.25
1170,14067.5
1171,5568.1875
1172,212.75
1173,35422.6875
1174,71603.1875
1175,5242.25
1176,2432.1875
1177,809.25
1178,988.25
1179,542.25
1180,138.5
1181,446.5
1182,4178.1875
1183,4719.25
1184,5741.6875
1185,18677.1875
1186,5744.6875
1187,12889.25
1188,1865.25
1189,3963.25
1190,1698.6875
1191,3112.6875
1192,4260.1875
1193,4901.1875
1194,13267.5
1195,4213.6875
1196,2903.1875
1197,1950.25
1198,2769.6875
1199,2560.6875
1200,3548.1875
1201,182.6875
1202,227.0
1203,77.25
1204,1536.75
1205,2030.6875
1206,16753.6875
1207,21013.25
1208,2418.5
1209,4990.6875
1210,4800.75
1211,3676.25
1212,938.6875
1213,1638.6875
1214,1345.25
1215,729.6875
1216,4125.25
1217,671.1875
1218,6518.1875
1219,20318.75
1220,1113.6875
1221,8056.5
1222,33445.6875
1223,3305.6875
1224,1430.1875
1225,256.5
1226,123.1875
1227,11.25
1228,468.25
1229,10809.6875
1230,54891.6875
1231,79459.6875
1232,654.6875
1233,3097.6875
1234,2267.6875
1235,7269.5
1236,2163.1875
1237,5081.0
1238,10791.25
1239,29436.5
1240,4268.6875
1241,12681.6875
1242,7596.5
1243,32480.25
1244,269.0
1245,12304.1875
1246,6363.5
1247,2720.25
1248,2142.1875
1249,230.1875
1250,293.6875
1251,144.25
1252,682.75
1253,5948.6875
1254,53323.6875
1255,47014.0
1256,1055.5
1257,518.0
1258,791.1875
1259,6364.6875
1260,4489.25
1261,1589.25
1262,2486.5
1263,227.5
1264,1462.1875
1265,5034.5
1266,10173.5
1267,24448.25
1268,2367.5
1269,16962.25
1270,2184.6875
1271,3192.25
1272,1584.25
1273,79.1875
1274,171.6875
1275,89.25
1276,749.1875
1277,9004.6875
1278,55716.1875
1279,46040.6875
1280,3898.25
1281,2331.25
1282,1664.25
1283,6981.5
1284,6106.5
1285,3135.6875
1286,11288.75
1287,850.0
1288,4423.1875
1289,1103.6875
1290,2455.25
1291,25801.0
1292,443.5
1293,11611.6875
1294,12685.1875
1295,4318.1875
1296,3923.25
1297,145.25
1298,733.6875
1299,10.5
1300,267.1875
1301,9129.1875
1302,58826.6875
1303,49883.1875
1304,1487.1875
1305,2063.25
1306,4477.25
1307,17785.6875
1308,1675.6875
1309,6388.1875
1310,2577.5
1311,1777.25
1312,508.6875
1313,3291.1875
1314,11652.1875
1315,19590.75
1316,1444.25
1317,15296.25
1318,40239.1875
1319,4582.0
1320,6695.6875
1321,1500.5
1322,807.6875
1323,67.1875
1324,20.6875
1325,1711.5
1326,6162.25
1327,8879.6875
1328,28732.1875
1329,23798.75
1330,4437.0
1331,8974.6875
1332,637.5
1333,1154.6875
1334,3092.1875
1335,599.5
1336,413.6875
1337,5435.25
1338,13751.6875
1339,10788.6875
1340,620.6875
1341,20780.1875
1342,53988.25
1343,3960.1875
1344,1886.25
1345,937.0
1346,1258.5
1347,209.6875
1348,48.5
1349,648.75
1350,2822.75
1351,3950.6875
1352,7053.6875
1353,17578.5
1354,13653.5
1355,3634.5
1356,4720.6875
1357,1686.5
1358,2045.1875
1359,3630.1875
1360,1227.25
1361,2404.6875
1362,8783.5
1363,13855.25
1364,1376.5
1365,1169.1875
1366,4816.5
1367,1467.0
1368,2933.0
1369,281.25
1370,461.1875
1371,8.1875
1372,700.75
1373,7182.6875
1374,39497.6875
1375,54656.5
1376,2797.1875
1377,2166.1875
1378,408.25
1379,4328.1875
1380,1212.1875
1381,2107.1875
1382,11786.1875
1383,532.25
1384,251.25
1385,1289.1875
1386,5422.5
1387,15687.5
1388,62.25
1389,1009.1875
1390,3708.6875
1391,3050.1875
1392,1830.6875
1393,212.75
1394,107.0
1395,28.5
1396,399.5
1397,8096.5
1398,53601.1875
1399,63800.5
1400,732.6875
1401,3039.25
1402,2313.1875
1403,4025.25
1404,2657.6875
1405,1695.6875
1406,11481.0
1407,4231.6875
1408,12992.6875
1409,1156.25
1410,1179.0
1411,34378.25
1412,2534.75
1413,10698.6875
1414,6715.5
1415,3821.25
1416,1564.6875
1417,187.5
1418,205.5
1419,42.6875
1420,498.6875
1421,6337.5
1422,58896.6875
1423,54407.25
1424,449.0
1425,863.1875
1426,1954.5
1427,5370.6875
1428,3326.1875
1429,1219.5
1430,3569.5
1431,689.6875
1432,948.1875
1433,1959.6875
1434,5495.25
1435,20575.6875
1436,3074.1875
1437,12399.5
1438,3991.1875
1439,2815.25
1440,1274.6875
1441,165.6875
1442,586.25
1443,48.1875
1444,689.5
1445,8794.5
1446,46518.5
1447,52385.0
1448,1668.1875
1449,897.1875
1450,9051.6875
1451,2521.1875
1452,1123.6875
1453,3744.75
1454,5807.5
1455,630.6875
1456,1414.75
1457,1040.6875
1458,1116.6875
1459,31145.25
1460,4830.75
1461,17296.5
1462,12923.5
1463,3180.5
1464,2738.1875
1465,147.0
1466,537.6875
1467,10.6875
1468,553.5
1469,7016.75
1470,46217.6875
1471,62279.1875
1472,860.6875
1473,861.6875
1474,9323.6875
1475,5688.6875
1476,508.6875
1477,3154.75
1478,698.25
1479,1205.1875
1480,243.1875
1481,1865.25
1482,7109.1875
1483,6602.1875
1484,1598.25
1485,461.1875
1486,9366.75
1487,2648.5
1488,2466.75
1489,371.6875
1490,1079.1875
1491,246.6875
1492,17.0
1493,1056.6875
1494,4942.5
1495,11391.6875
1496,22250.1875
1497,5660.1875
1498,1948.5
1499,4917.1875
1500,4645.5
1501,1573.6875
1502,3114.75
1503,4609.25
1504,2461.5
1505,5424.5
1506,45554.5
1507,9680.1875
1508,4496.75
1509,1406.1875
1510,15532.25
1511,3366.25
1512,3436.75
1513,332.75
1514,1058.1875
1515,239.25
1516,35.6875
1517,402.75
1518,4336.25
1519,6097.6875
1520,12606.6875
1521,30739.5
1522,5208.6875
1523,6716.6875
1524,1886.5
1525,3372.25
1526,406.25
1527,14861.25
1528,6972.1875
1529,16098.1875
1530,4662.5
1531,5521.5
1532,1222.25
1533,1409.6875
1534,1346.25
1535,3371.0
1536,4694.1875
1537,106.5
1538,78.25
1539,21.0
1540,1000.25
1541,8174.5
1542,48777.0
1543,55071.1875
1544,3884.1875
1545,2179.1875
1546,5175.25
1547,3475.5
1548,1856.5
1549,931.25
1550,14904.6875
1551,9600.6875
1552,185.1875
1553,815.6875
1554,26296.25
1555,14136.0
1556,2403.5
1557,7986.5
1558,6195.0
1559,4149.1875
1560,2007.6875
1561,246.5
1562,40.6875
1563,25.6875
1564,807.5
1565,7292.1875
1566,61011.1875
1567,64852.5
1568,5608.25
1569,3726.6875
1570,2049.6875
1571,4779.0
1572,2569.6875
1573,4558.5
1574,8370.6875
1575,2203.1875
1576,9.6875
1577,1047.6875
1578,12695.25
1579,16161.5
1580,1128.6875
1581,3601.6875
1582,8486.1875
1583,4295.25
1584,1322.1875
1585,271.1875
1586,125.25
1587,45.5
1588,751.25
1589,6024.1875
1590,52522.6875
1591,47167.25
1592,106.5
1593,1460.6875
1594,4282.1875
1595,2206.5
1596,1690.25
1597,3868.6875
1598,16047.5
1599,10825.6875
1600,3265.6875
1601,298.6875
1602,3097.1875
1603,34826.0
1604,2442.75
1605,12462.1875
1606,50846.1875
1607,3405.6875
1608,994.5
1609,486.1875
1610,393.25
1611,53.25
1612,522.5
1613,9612.5
1614,57272.1875
1615,43730.5
1616,528.0
1617,539.25
1618,2488.5
1619,13678.5
1620,7501.25
1621,3051.5
1622,853.6875
1623,276.6875
1624,2806.5
1625,1117.6875
1626,667.1875
1627,31012.25
1628,4199.1875
1629,6634.25
1630,12290.1875
1631,4343.6875
1632,5414.6875
1633,219.1875
1634,148.6875
1635,33.25
1636,235.6875
1637,7953.1875
1638,53173.6875
1639,39663.1875
1640,1991.1875
1641,183.6875
1642,5054.1875
1643,13917.5
1644,6577.25
1645,2790.25
1646,39702.5
1647,607.1875
1648,399.1875
1649,574.75
1650,6103.5
1651,15708.25
1652,1166.75
1653,19277.1875
1654,57812.25
1655,7691.1875
1656,4054.1875
1657,1364.75
1658,1138.0
1659,264.6875
1660,18.25
1661,1097.6875
1662,8446.25
1663,20957.25
1664,19704.25
1665,14502.5
1666,3624.75
1667,5685.6875
1668,1157.1875
1669,1908.5
1670,430.25
1671,574.25
1672,1296.5
1673,1813.6875
1674,3369.6875
1675,14549.0
1676,443.1875
1677,3091.6875
1678,3022.6875
1679,5867.1875
1680,16774.1875
1681,936.5
1682,1058.1875
1683,1164.25
1684,377.1875
1685,262.25
1686,2924.6875
1687,3818.1875
1688,15817.1875
1689,17310.6875
1690,8146.1875
1691,10756.6875
1692,6912.6875
1693,1240.75
1694,2198.1875
1695,206.6875
1696,991.6875
1697,2308.6875
1698,8808.5
1699,2770.75
1700,32349.6875
1701,3643.25
1702,2564.1875
1703,774.1875
1704,1152.6875
1705,293.6875
1706,77.1875
1707,58.5
1708,431.6875
1709,7378.25
1710,37469.6875
1711,66173.1875
1712,1810.75
1713,795.6875
1714,1056.6875
1715,5963.1875
1716,2375.1875
1717,4938.5
1718,3413.1875
1719,796.1875
1720,551.5
1721,433.5
1722,9654.6875
1723,11541.6875
1724,10119.5
1725,5742.1875
1726,4425.6875
1727,6450.1875
1728,1610.1875
1729,741.5
1730,397.6875
1731,133.1875
1732,395.6875
1733,6818.75
1734,69866.0
1735,76538.0
1736,1409.5
1737,575.25
1738,6217.5
1739,6454.75
1740,1013.5
1741,3522.25
1742,4430.1875
1743,1074.6875
1744,1251.1875
1745,4262.1875
1746,3411.6875
1747,20934.1875
1748,3639.6875
1749,5423.6875
1750,15232.1875
1751,4106.0
1752,3084.6875
1753,519.5
1754,1236.25
1755,15.25
1756,822.1875
1757,6877.1875
1758,54570.1875
1759,62598.6875
1760,7114.25
1761,1842.1875
1762,2142.0
1763,1980.6875
1764,1113.5
1765,3239.1875
1766,1131.5
1767,411.1875
1768,810.6875
1769,865.25
1770,7162.25
1771,4571.5
1772,7630.6875
1773,10244.1875
1774,12904.1875
1775,4473.6875
1776,5454.6875
1777,218.75
1778,711.5
1779,20.6875
1780,822.0
1781,8928.6875
1782,57712.5
1783,58633.0
1784,2685.25
1785,1262.25
1786,2375.6875
1787,3550.1875
1788,3207.5
1789,5953.5
1790,7338.1875
1791,5462.75
1792,731.0
1793,618.6875
1794,2509.6875
1795,3850.5
1796,10147.6875
1797,11932.25
1798,8397.25
1799,5875.1875
1800,3805.25
1801,623.1875
1802,764.1875
1803,82.75
1804,906.1875
1805,6454.6875
1806,46373.1875
1807,56308.6875
1808,312.25
1809,5455.25
1810,11511.1875
1811,3852.5
1812,3732.5
1813,5048.6875
1814,6518.25
1815,353.6875
1816,378.5
1817,2937.25
